country,year,cancer_type,gender,incident_count,i_crude_rate,mortality_count,m_crude_rate
Australia,1995,OESOPHAGEAL,M,587,6.6,615,6.9
Australia,1996,OESOPHAGEAL,M,634,7.0,606,6.7
Australia,1997,OESOPHAGEAL,M,628,6.9,659,7.2
Australia,1998,OESOPHAGEAL,M,628,6.8,646,7.0
Australia,1999,OESOPHAGEAL,M,716,7.7,646,6.9
Australia,2000,OESOPHAGEAL,M,719,7.6,683,7.2
Australia,2001,OESOPHAGEAL,M,711,7.4,698,7.3
Australia,2002,OESOPHAGEAL,M,724,7.5,686,7.1
Australia,2003,OESOPHAGEAL,M,768,7.8,767,7.8
Australia,2004,OESOPHAGEAL,M,822,8.3,772,7.8
Australia,2005,OESOPHAGEAL,M,819,8.2,805,8.0
Australia,2006,OESOPHAGEAL,M,873,8.6,808,8.0
Australia,2007,OESOPHAGEAL,M,876,8.5,794,7.7
Australia,2008,OESOPHAGEAL,M,932,8.8,844,8.0
Australia,2009,OESOPHAGEAL,M,904,8.4,823,7.6
Australia,2010,OESOPHAGEAL,M,"1,009",9.2,865,7.9
Australia,2011,OESOPHAGEAL,M,"1,001",9.0,904,8.1
Australia,2012,OESOPHAGEAL,M,986,8.7,887,7.8
Australia,2013,OESOPHAGEAL,M,999,8.7,890,7.7
Australia,2014,OESOPHAGEAL,M,"1,028",8.8,875,7.5
Australia,2015,OESOPHAGEAL,M,,,949,8.0
Australia,1968,OESOPHAGEAL,F,,,134,2.2
Australia,1969,OESOPHAGEAL,F,,,121,2.0
Australia,1970,OESOPHAGEAL,F,,,142,2.3
Australia,1971,OESOPHAGEAL,F,,,136,2.1
Australia,1972,OESOPHAGEAL,F,,,145,2.2
Australia,1973,OESOPHAGEAL,F,,,156,2.3
Australia,1974,OESOPHAGEAL,F,,,153,2.2
Australia,1975,OESOPHAGEAL,F,,,173,2.5
Australia,1976,OESOPHAGEAL,F,,,189,2.7
Australia,1977,OESOPHAGEAL,F,,,167,2.4
Australia,1978,OESOPHAGEAL,F,,,206,2.9
Australia,1979,OESOPHAGEAL,F,,,180,2.5
Australia,1980,OESOPHAGEAL,F,,,175,2.4
Australia,1981,OESOPHAGEAL,F,,,193,2.6
Australia,1982,OESOPHAGEAL,F,220,2.9,189,2.5
Australia,1983,OESOPHAGEAL,F,234,3.0,211,2.7
Australia,1984,OESOPHAGEAL,F,261,3.3,206,2.6
Australia,1985,OESOPHAGEAL,F,278,3.5,250,3.2
Australia,1986,OESOPHAGEAL,F,242,3.0,217,2.7
Australia,1987,OESOPHAGEAL,F,303,3.7,260,3.2
Australia,1988,OESOPHAGEAL,F,342,4.1,281,3.4
Australia,1989,OESOPHAGEAL,F,260,3.1,269,3.2
Australia,1990,OESOPHAGEAL,F,300,3.5,224,2.6
Australia,1991,OESOPHAGEAL,F,311,3.6,277,3.2
Australia,1992,OESOPHAGEAL,F,321,3.7,258,2.9
Australia,1993,OESOPHAGEAL,F,352,4.0,279,3.2
Australia,1994,OESOPHAGEAL,F,340,3.8,303,3.4
Australia,1995,OESOPHAGEAL,F,361,4.0,295,3.3
Australia,1996,OESOPHAGEAL,F,355,3.9,324,3.5
Australia,1997,OESOPHAGEAL,F,349,3.8,286,3.1
Australia,1998,OESOPHAGEAL,F,377,4.0,330,3.5
Australia,1999,OESOPHAGEAL,F,370,3.9,294,3.1
Australia,2000,OESOPHAGEAL,F,363,3.8,288,3.0
Australia,2001,OESOPHAGEAL,F,377,3.9,342,3.5
Australia,2002,OESOPHAGEAL,F,364,3.7,319,3.2
Australia,2003,OESOPHAGEAL,F,401,4.0,363,3.7
Australia,2004,OESOPHAGEAL,F,403,4.0,316,3.1
Australia,2005,OESOPHAGEAL,F,361,3.6,371,3.7
Australia,2006,OESOPHAGEAL,F,369,3.6,348,3.4
Australia,2007,OESOPHAGEAL,F,406,3.9,324,3.1
Australia,2008,OESOPHAGEAL,F,384,3.6,363,3.4
Australia,2009,OESOPHAGEAL,F,376,3.5,353,3.2
Australia,2010,OESOPHAGEAL,F,414,3.7,331,3.0
