station_number,state_code,state_name,country
7016,WA,West Australia,Australia
7017,WA,West Australia,Australia
7018,WA,West Australia,Australia
7019,WA,West Australia,Australia
7020,WA,West Australia,Australia
7021,WA,West Australia,Australia
7022,WA,West Australia,Australia
7023,WA,West Australia,Australia
7024,WA,West Australia,Australia
7025,WA,West Australia,Australia
7026,WA,West Australia,Australia
7027,WA,West Australia,Australia
7028,WA,West Australia,Australia
7029,WA,West Australia,Australia
7030,WA,West Australia,Australia
7031,WA,West Australia,Australia
7032,WA,West Australia,Australia
7033,WA,West Australia,Australia
7034,WA,West Australia,Australia
7035,WA,West Australia,Australia
7036,WA,West Australia,Australia
7037,WA,West Australia,Australia
7038,WA,West Australia,Australia
7039,WA,West Australia,Australia
7040,WA,West Australia,Australia
7041,WA,West Australia,Australia
7042,WA,West Australia,Australia
7043,WA,West Australia,Australia
7044,WA,West Australia,Australia
7045,WA,West Australia,Australia
7046,WA,West Australia,Australia
7047,WA,West Australia,Australia
7048,WA,West Australia,Australia
7049,WA,West Australia,Australia
7050,WA,West Australia,Australia
7051,WA,West Australia,Australia
7052,WA,West Australia,Australia
7053,WA,West Australia,Australia
7054,WA,West Australia,Australia
7055,WA,West Australia,Australia
7056,WA,West Australia,Australia
7057,WA,West Australia,Australia
7058,WA,West Australia,Australia
7059,WA,West Australia,Australia
7060,WA,West Australia,Australia
7061,WA,West Australia,Australia
7062,WA,West Australia,Australia
7063,WA,West Australia,Australia
7064,WA,West Australia,Australia
7065,WA,West Australia,Australia
7066,WA,West Australia,Australia
7067,WA,West Australia,Australia
7068,WA,West Australia,Australia
7069,WA,West Australia,Australia
7070,WA,West Australia,Australia
7071,WA,West Australia,Australia
7072,WA,West Australia,Australia
7073,WA,West Australia,Australia
7074,WA,West Australia,Australia
7075,WA,West Australia,Australia
7076,WA,West Australia,Australia
7077,WA,West Australia,Australia
7078,WA,West Australia,Australia
7079,WA,West Australia,Australia
7080,WA,West Australia,Australia
7081,WA,West Australia,Australia
7082,WA,West Australia,Australia
7083,WA,West Australia,Australia
7084,WA,West Australia,Australia
7085,WA,West Australia,Australia
7086,WA,West Australia,Australia
7087,WA,West Australia,Australia
7088,WA,West Australia,Australia
7089,WA,West Australia,Australia
7090,WA,West Australia,Australia
7091,WA,West Australia,Australia
7092,WA,West Australia,Australia
7093,WA,West Australia,Australia
7094,WA,West Australia,Australia
7095,WA,West Australia,Australia
7096,WA,West Australia,Australia
7097,WA,West Australia,Australia
7098,WA,West Australia,Australia
7099,WA,West Australia,Australia
7100,WA,West Australia,Australia
7101,WA,West Australia,Australia
7102,WA,West Australia,Australia
7103,WA,West Australia,Australia
7104,WA,West Australia,Australia
7105,WA,West Australia,Australia
7106,WA,West Australia,Australia
7107,WA,West Australia,Australia
7108,WA,West Australia,Australia
7109,WA,West Australia,Australia
7110,WA,West Australia,Australia
7111,WA,West Australia,Australia
7112,WA,West Australia,Australia
7113,WA,West Australia,Australia
7114,WA,West Australia,Australia
7115,WA,West Australia,Australia
7116,WA,West Australia,Australia
7117,WA,West Australia,Australia
7118,WA,West Australia,Australia
7119,WA,West Australia,Australia
7120,WA,West Australia,Australia
7121,WA,West Australia,Australia
7122,WA,West Australia,Australia
7123,WA,West Australia,Australia
7124,WA,West Australia,Australia
7125,WA,West Australia,Australia
7126,WA,West Australia,Australia
7127,WA,West Australia,Australia
7128,WA,West Australia,Australia
7129,WA,West Australia,Australia
