station_number,lat,long,station_name,year,tmean
016001,-31.16,136.80,WOOMERA AERODROME,1953,18.8
016001,-31.16,136.80,WOOMERA AERODROME,1954,18.5
016001,-31.16,136.80,WOOMERA AERODROME,1955,18.5
016001,-31.16,136.80,WOOMERA AERODROME,1956,18.0
016001,-31.16,136.80,WOOMERA AERODROME,1957,19.3
016001,-31.16,136.80,WOOMERA AERODROME,1958,18.4
016001,-31.16,136.80,WOOMERA AERODROME,1959,19.4
016001,-31.16,136.80,WOOMERA AERODROME,1960,18.6
016001,-31.16,136.80,WOOMERA AERODROME,1961,19.3
016001,-31.16,136.80,WOOMERA AERODROME,1962,19.0
016001,-31.16,136.80,WOOMERA AERODROME,1963,19.1
016001,-31.16,136.80,WOOMERA AERODROME,1964,18.5
016001,-31.16,136.80,WOOMERA AERODROME,1965,19.5
016001,-31.16,136.80,WOOMERA AERODROME,1966,18.4
016001,-31.16,136.80,WOOMERA AERODROME,1967,19.1
016001,-31.16,136.80,WOOMERA AERODROME,1968,19.0
016001,-31.16,136.80,WOOMERA AERODROME,1969,18.7
016001,-31.16,136.80,WOOMERA AERODROME,1970,18.6
016001,-31.16,136.80,WOOMERA AERODROME,1971,18.9
016001,-31.16,136.80,WOOMERA AERODROME,1972,19.3
016001,-31.16,136.80,WOOMERA AERODROME,1973,19.6
016001,-31.16,136.80,WOOMERA AERODROME,1974,18.8
016001,-31.16,136.80,WOOMERA AERODROME,1975,19.2
016001,-31.16,136.80,WOOMERA AERODROME,1976,18.5
016001,-31.16,136.80,WOOMERA AERODROME,1977,19.8
016001,-31.16,136.80,WOOMERA AERODROME,1978,18.7
016001,-31.16,136.80,WOOMERA AERODROME,1979,19.5
016001,-31.16,136.80,WOOMERA AERODROME,1980,19.8
016001,-31.16,136.80,WOOMERA AERODROME,1981,19.7
016001,-31.16,136.80,WOOMERA AERODROME,1982,19.7
016001,-31.16,136.80,WOOMERA AERODROME,1983,19.7
016001,-31.16,136.80,WOOMERA AERODROME,1984,18.8
016001,-31.16,136.80,WOOMERA AERODROME,1985,19.1
016001,-31.16,136.80,WOOMERA AERODROME,1986,18.8
016001,-31.16,136.80,WOOMERA AERODROME,1987,19.0
016001,-31.16,136.80,WOOMERA AERODROME,1988,19.6
016001,-31.16,136.80,WOOMERA AERODROME,1989,18.7
016001,-31.16,136.80,WOOMERA AERODROME,1990,19.7
016001,-31.16,136.80,WOOMERA AERODROME,1991,20.1
016001,-31.16,136.80,WOOMERA AERODROME,1992,18.5
016001,-31.16,136.80,WOOMERA AERODROME,1993,19.5
016001,-31.16,136.80,WOOMERA AERODROME,1994,19.5
016001,-31.16,136.80,WOOMERA AERODROME,1995,19.1
016001,-31.16,136.80,WOOMERA AERODROME,1996,19.3
016001,-31.16,136.80,WOOMERA AERODROME,1997,19.5
016001,-31.16,136.80,WOOMERA AERODROME,1998,19.1
016001,-31.16,136.80,WOOMERA AERODROME,1999,19.8
016001,-31.16,136.80,WOOMERA AERODROME,2000,20.0
016001,-31.16,136.80,WOOMERA AERODROME,2001,19.4
016001,-31.16,136.80,WOOMERA AERODROME,2002,19.8
016001,-31.16,136.80,WOOMERA AERODROME,2003,19.8
016001,-31.16,136.80,WOOMERA AERODROME,2004,19.9
016001,-31.16,136.80,WOOMERA AERODROME,2005,20.0
016001,-31.16,136.80,WOOMERA AERODROME,2006,19.9
016001,-31.16,136.80,WOOMERA AERODROME,2007,20.4
016001,-31.16,136.80,WOOMERA AERODROME,2008,19.5
016001,-31.16,136.80,WOOMERA AERODROME,2009,20.4
016001,-31.16,136.80,WOOMERA AERODROME,2010,19.3
016001,-31.16,136.80,WOOMERA AERODROME,2011,19.9
016001,-31.16,136.80,WOOMERA AERODROME,2012,19.5
032025,-17.53,146.03,INNISFAIL,1910,23.2
032025,-17.53,146.03,INNISFAIL,1911,23.3
032025,-17.53,146.03,INNISFAIL,1912,23.5
032025,-17.53,146.03,INNISFAIL,1913,22.5
032025,-17.53,146.03,INNISFAIL,1914,23.2
032025,-17.53,146.03,INNISFAIL,1915,24.4
032025,-17.53,146.03,INNISFAIL,1916,24.3
032025,-17.53,146.03,INNISFAIL,1917,23.7
032025,-17.53,146.03,INNISFAIL,1918,23.3
032025,-17.53,146.03,INNISFAIL,1919,23.1
032025,-17.53,146.03,INNISFAIL,1920,23.9
032025,-17.53,146.03,INNISFAIL,1921,23.7
032025,-17.53,146.03,INNISFAIL,1922,23.5
032025,-17.53,146.03,INNISFAIL,1923,23.1
032025,-17.53,146.03,INNISFAIL,1924,23.8
032025,-17.53,146.03,INNISFAIL,1925,23.2
032025,-17.53,146.03,INNISFAIL,1926,24.5
032025,-17.53,146.03,INNISFAIL,1927,23.6
032025,-17.53,146.03,INNISFAIL,1928,23.8
032025,-17.53,146.03,INNISFAIL,1929,23.4
032025,-17.53,146.03,INNISFAIL,1930,22.8
032025,-17.53,146.03,INNISFAIL,1931,23.8
032025,-17.53,146.03,INNISFAIL,1932,23.2
032025,-17.53,146.03,INNISFAIL,1933,23.8
032025,-17.53,146.03,INNISFAIL,1934,23.1
032025,-17.53,146.03,INNISFAIL,1935,23.0
032025,-17.53,146.03,INNISFAIL,1936,23.0
032025,-17.53,146.03,INNISFAIL,1937,23.1
032025,-17.53,146.03,INNISFAIL,1938,24.0
032025,-17.53,146.03,INNISFAIL,1939,23.5
032025,-17.53,146.03,INNISFAIL,1940,23.3
032025,-17.53,146.03,INNISFAIL,1941,22.9
032025,-17.53,146.03,INNISFAIL,1942,24.8
032025,-17.53,146.03,INNISFAIL,1943,23.7
032025,-17.53,146.03,INNISFAIL,1944,23.3
032025,-17.53,146.03,INNISFAIL,1945,23.4
032025,-17.53,146.03,INNISFAIL,1946,23.3
032025,-17.53,146.03,INNISFAIL,1947,23.6
032025,-17.53,146.03,INNISFAIL,1948,23.5
032025,-17.53,146.03,INNISFAIL,1949,22.8
032025,-17.53,146.03,INNISFAIL,1950,23.4
032025,-17.53,146.03,INNISFAIL,1951,23.3
032025,-17.53,146.03,INNISFAIL,1952,24.1
032025,-17.53,146.03,INNISFAIL,1953,23.4
032025,-17.53,146.03,INNISFAIL,1954,23.1
032025,-17.53,146.03,INNISFAIL,1955,23.2
032025,-17.53,146.03,INNISFAIL,1956,23.8
032025,-17.53,146.03,INNISFAIL,1957,23.4
032025,-17.53,146.03,INNISFAIL,1958,24.3
032025,-17.53,146.03,INNISFAIL,1959,23.4
032025,-17.53,146.03,INNISFAIL,1960,23.0
032025,-17.53,146.03,INNISFAIL,1961,23.4
032025,-17.53,146.03,INNISFAIL,1962,23.9
032025,-17.53,146.03,INNISFAIL,1963,23.3
032025,-17.53,146.03,INNISFAIL,1964,24.0
032025,-17.53,146.03,INNISFAIL,1965,23.0
032025,-17.53,146.03,INNISFAIL,1966,23.3
032025,-17.53,146.03,INNISFAIL,1967,23.5
032025,-17.53,146.03,INNISFAIL,1968,23.6
032025,-17.53,146.03,INNISFAIL,1969,23.8
032025,-17.53,146.03,INNISFAIL,1970,23.9
032025,-17.53,146.03,INNISFAIL,1971,24.0
032025,-17.53,146.03,INNISFAIL,1972,23.0
032025,-17.53,146.03,INNISFAIL,1973,24.6
032025,-17.53,146.03,INNISFAIL,1974,23.6
032025,-17.53,146.03,INNISFAIL,1975,23.9
032025,-17.53,146.03,INNISFAIL,1976,23.5
032025,-17.53,146.03,INNISFAIL,1977,23.3
032025,-17.53,146.03,INNISFAIL,1978,23.5
032025,-17.53,146.03,INNISFAIL,1979,23.6
032025,-17.53,146.03,INNISFAIL,1980,23.8
032025,-17.53,146.03,INNISFAIL,1981,24.3
032025,-17.53,146.03,INNISFAIL,1982,23.3
032025,-17.53,146.03,INNISFAIL,1983,24.8
032025,-17.53,146.03,INNISFAIL,1984,24.1
032025,-17.53,146.03,INNISFAIL,1985,24.3
032025,-17.53,146.03,INNISFAIL,1986,24.6
032025,-17.53,146.03,INNISFAIL,1987,24.5
032025,-17.53,146.03,INNISFAIL,1988,24.6
