,station_number,lat,long,station_name,country,year,tmean,tmax,tmin_x,tmin_y,tmin,rainfall
183,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1990,16.9,19.8,14.0,14.0,14.0,
184,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1991,17.3,20.0,14.5,14.5,14.5,
185,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1992,17.1,20.1,14.1,14.1,14.1,
186,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1993,16.5,19.5,13.6,13.6,13.6,
187,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1994,17.5,20.4,14.6,14.6,14.6,
188,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1995,17.2,20.1,14.3,14.3,14.3,
189,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1996,17.7,20.5,14.9,14.9,14.9,
190,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1997,17.4,20.1,14.6,14.6,14.6,
191,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1998,17.2,20.0,14.4,14.4,14.4,
192,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1999,17.6,20.5,14.8,14.8,14.8,
193,9518,-34.37,115.13,CAPE LEEUWIN,Australia,2000,17.5,20.3,14.8,14.8,14.8,
194,9518,-34.37,115.13,CAPE LEEUWIN,Australia,2001,17.0,19.6,14.4,14.4,14.4,
195,9518,-34.37,115.13,CAPE LEEUWIN,Australia,2002,17.0,19.7,14.4,14.4,14.4,
196,9518,-34.37,115.13,CAPE LEEUWIN,Australia,2003,17.3,19.9,14.6,14.6,14.6,
197,9518,-34.37,115.13,CAPE LEEUWIN,Australia,2004,17.1,19.9,14.4,14.4,14.4,
198,9518,-34.37,115.13,CAPE LEEUWIN,Australia,2005,16.8,19.4,14.2,14.2,14.2,
199,9518,-34.37,115.13,CAPE LEEUWIN,Australia,2006,17.3,20.1,14.5,14.5,14.5,
200,9518,-34.37,115.13,CAPE LEEUWIN,Australia,2007,17.3,20.0,14.6,14.6,14.6,
201,9518,-34.37,115.13,CAPE LEEUWIN,Australia,2008,17.3,20.1,14.5,14.5,14.5,
202,9518,-34.37,115.13,CAPE LEEUWIN,Australia,2009,17.4,20.1,14.6,14.6,14.6,
203,9518,-34.37,115.13,CAPE LEEUWIN,Australia,2010,17.6,20.5,14.7,14.7,14.7,
204,9518,-34.37,115.13,CAPE LEEUWIN,Australia,2011,18.3,21.2,15.3,15.3,15.3,
205,9518,-34.37,115.13,CAPE LEEUWIN,Australia,2012,18.1,21.1,15.2,15.2,15.2,
206,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1910,26.4,32.4,20.4,20.4,20.4,
207,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1911,26.3,33.2,19.3,19.3,19.3,
208,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1912,26.0,32.6,19.4,19.4,19.4,
209,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1913,25.2,31.6,18.7,18.7,18.7,
210,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1914,25.8,31.8,19.7,19.7,19.7,
211,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1915,26.4,33.1,19.8,19.8,19.8,
212,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1916,26.2,32.4,19.9,19.9,19.9,
213,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1917,25.5,31.3,19.6,19.6,19.6,
214,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1918,25.4,32.0,18.7,18.7,18.7,
215,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1919,26.0,31.9,20.1,20.1,20.1,
216,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1920,26.0,31.6,20.5,20.5,20.5,
217,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1921,25.8,31.4,20.3,20.3,20.3,
218,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1922,25.2,32.0,18.4,18.4,18.4,
219,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1923,25.0,32.0,18.1,18.1,18.1,
220,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1924,26.3,33.2,19.3,19.3,19.3,
221,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1925,25.5,32.0,19.1,19.1,19.1,
222,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1926,25.4,31.9,18.9,18.9,18.9,
223,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1927,25.7,32.4,18.9,18.9,18.9,
224,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1928,27.6,33.9,21.3,21.3,21.3,
225,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1929,26.2,32.9,19.5,19.5,19.5,
226,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1930,26.2,32.1,20.3,20.3,20.3,
227,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1931,26.6,33.0,20.3,20.3,20.3,
228,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1932,25.7,32.6,18.8,18.8,18.8,
229,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1933,26.2,32.4,20.0,20.0,20.0,
230,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1934,26.4,32.0,20.7,20.7,20.7,
231,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1935,26.2,32.8,19.6,19.6,19.6,
232,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1936,27.2,33.7,20.6,20.6,20.6,
233,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1937,26.3,32.7,19.9,19.9,19.9,
234,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1938,26.9,33.5,20.2,20.2,20.2,
235,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1939,25.8,31.8,19.9,19.9,19.9,
236,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1940,26.4,32.9,19.9,19.9,19.9,
237,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1941,26.5,32.0,21.0,21.0,21.0,
238,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1942,27.0,33.5,20.4,20.4,20.4,
239,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1943,26.4,33.0,19.7,19.7,19.7,
240,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1944,25.7,32.2,19.2,19.2,19.2,
241,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1945,26.2,32.9,19.4,19.4,19.4,
242,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1946,25.9,32.9,18.9,18.9,18.9,
243,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1947,27.0,33.2,20.9,20.9,20.9,
244,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1948,26.7,33.2,20.1,20.1,20.1,
245,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1949,25.0,31.6,18.4,18.4,18.4,
246,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1950,26.3,32.1,20.5,20.5,20.5,
247,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1951,26.9,33.1,20.8,20.8,20.8,
248,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1952,27.9,33.9,21.8,21.8,21.8,
249,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1953,26.7,33.2,20.1,20.1,20.1,
250,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1954,26.9,33.5,20.3,20.3,20.3,
251,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1955,27.5,33.4,21.5,21.5,21.5,
252,2012,-18.23,127.66,HALLS CREEK AIRPORT,Australia,1956,26.4,32.7,20.1,20.1,20.1,
