station_number,lat,long,station_name,year,rainfall
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2006,203.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2007,366.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2008,334.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2009,224.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2010,708.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2011,456.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2012,305.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2013,343.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2014,327.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2015,99999.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2016,99999.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2017,387.9
024515,-35.30,139.03,LANGHORNE CREEK,1890,545.6
024515,-35.30,139.03,LANGHORNE CREEK,1891,312.6
024515,-35.30,139.03,LANGHORNE CREEK,1892,398.5
024515,-35.30,139.03,LANGHORNE CREEK,1893,502.8
024515,-35.30,139.03,LANGHORNE CREEK,1894,502.3
024515,-35.30,139.03,LANGHORNE CREEK,1895,442.1
024515,-35.30,139.03,LANGHORNE CREEK,1896,284.8
024515,-35.30,139.03,LANGHORNE CREEK,1897,337.8
024515,-35.30,139.03,LANGHORNE CREEK,1898,382.7
024515,-35.30,139.03,LANGHORNE CREEK,1899,348.2
024515,-35.30,139.03,LANGHORNE CREEK,1900,366.5
024515,-35.30,139.03,LANGHORNE CREEK,1901,368.4
024515,-35.30,139.03,LANGHORNE CREEK,1902,290.7
024515,-35.30,139.03,LANGHORNE CREEK,1903,415.1
024515,-35.30,139.03,LANGHORNE CREEK,1904,299.9
024515,-35.30,139.03,LANGHORNE CREEK,1905,350.8
024515,-35.30,139.03,LANGHORNE CREEK,1906,495.0
024515,-35.30,139.03,LANGHORNE CREEK,1907,316.3
024515,-35.30,139.03,LANGHORNE CREEK,1908,374.2
024515,-35.30,139.03,LANGHORNE CREEK,1909,501.8
024515,-35.30,139.03,LANGHORNE CREEK,1910,495.8
024515,-35.30,139.03,LANGHORNE CREEK,1911,326.9
024515,-35.30,139.03,LANGHORNE CREEK,1912,272.8
024515,-35.30,139.03,LANGHORNE CREEK,1913,325.0
024515,-35.30,139.03,LANGHORNE CREEK,1914,233.8
024515,-35.30,139.03,LANGHORNE CREEK,1915,248.3
024515,-35.30,139.03,LANGHORNE CREEK,1916,402.3
024515,-35.30,139.03,LANGHORNE CREEK,1917,407.1
024515,-35.30,139.03,LANGHORNE CREEK,1918,215.7
024515,-35.30,139.03,LANGHORNE CREEK,1919,330.4
024515,-35.30,139.03,LANGHORNE CREEK,1920,375.3
024515,-35.30,139.03,LANGHORNE CREEK,1921,425.2
024515,-35.30,139.03,LANGHORNE CREEK,1922,500.4
024515,-35.30,139.03,LANGHORNE CREEK,1923,473.0
024515,-35.30,139.03,LANGHORNE CREEK,1924,418.2
024515,-35.30,139.03,LANGHORNE CREEK,1925,396.6
024515,-35.30,139.03,LANGHORNE CREEK,1926,346.3
024515,-35.30,139.03,LANGHORNE CREEK,1927,340.5
024515,-35.30,139.03,LANGHORNE CREEK,1928,334.5
024515,-35.30,139.03,LANGHORNE CREEK,1929,354.5
024515,-35.30,139.03,LANGHORNE CREEK,1930,337.1
024515,-35.30,139.03,LANGHORNE CREEK,1931,366.0
024515,-35.30,139.03,LANGHORNE CREEK,1932,528.6
024515,-35.30,139.03,LANGHORNE CREEK,1933,347.6
024515,-35.30,139.03,LANGHORNE CREEK,1934,421.5
024515,-35.30,139.03,LANGHORNE CREEK,1935,404.3
024515,-35.30,139.03,LANGHORNE CREEK,1936,447.3
024515,-35.30,139.03,LANGHORNE CREEK,1937,424.7
024515,-35.30,139.03,LANGHORNE CREEK,1938,292.5
024515,-35.30,139.03,LANGHORNE CREEK,1939,523.7
024515,-35.30,139.03,LANGHORNE CREEK,1940,267.7
024515,-35.30,139.03,LANGHORNE CREEK,1941,460.6
024515,-35.30,139.03,LANGHORNE CREEK,1942,562.6
024515,-35.30,139.03,LANGHORNE CREEK,1943,369.0
024515,-35.30,139.03,LANGHORNE CREEK,1944,257.4
024515,-35.30,139.03,LANGHORNE CREEK,1945,437.3
024515,-35.30,139.03,LANGHORNE CREEK,1946,639.4
024515,-35.30,139.03,LANGHORNE CREEK,1947,517.2
024515,-35.30,139.03,LANGHORNE CREEK,1948,401.6
024515,-35.30,139.03,LANGHORNE CREEK,1949,405.3
024515,-35.30,139.03,LANGHORNE CREEK,1950,384.4
024515,-35.30,139.03,LANGHORNE CREEK,1951,502.7
024515,-35.30,139.03,LANGHORNE CREEK,1952,391.0
024515,-35.30,139.03,LANGHORNE CREEK,1953,375.1
024515,-35.30,139.03,LANGHORNE CREEK,1954,338.3
024515,-35.30,139.03,LANGHORNE CREEK,1955,542.9
024515,-35.30,139.03,LANGHORNE CREEK,1956,455.8
024515,-35.30,139.03,LANGHORNE CREEK,1957,237.2
024515,-35.30,139.03,LANGHORNE CREEK,1958,403.8
024515,-35.30,139.03,LANGHORNE CREEK,1959,349.5
024515,-35.30,139.03,LANGHORNE CREEK,1960,453.1
024515,-35.30,139.03,LANGHORNE CREEK,1961,304.6
024515,-35.30,139.03,LANGHORNE CREEK,1962,335.2
024515,-35.30,139.03,LANGHORNE CREEK,1963,448.8
024515,-35.30,139.03,LANGHORNE CREEK,1964,452.2
024515,-35.30,139.03,LANGHORNE CREEK,1965,307.6
024515,-35.30,139.03,LANGHORNE CREEK,1966,374.1
024515,-35.30,139.03,LANGHORNE CREEK,1967,202.0
